ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,cumulative,cumulative_lower,cumulative_upper
2025-10-31,11679326.209834425,-6716388.324509321,24960344.96140851,11660891.124753278,11696236.461469997,-0.1757484625219775,-0.1757484625219775,-0.1757484625219775,-0.235078238075845,-0.235078238075845,-0.235078238075845,-0.05932977555386748,-0.05932977555386748,-0.05932977555386748,0.0,0.0,0.0,8933770.782513512,563695755.2337233,481919227.8020568,644150680.196273
2025-11-30,11851613.848803703,-6689243.846072801,25050569.089067135,11826307.640173245,11876955.865177255,-0.33209610392196565,-0.33209610392196565,-0.33209610392196565,-0.22864148457222566,-0.22864148457222566,-0.22864148457222566,0.10345461934974004,0.10345461934974004,0.10345461934974004,0.0,0.0,0.0,9141843.263836475,572837598.4975597,475229983.955984,669201249.2853401
2025-12-31,12029644.40907196,-4456417.338407937,25674596.936272822,11996564.682189666,12062819.031498607,-0.17574846252203882,-0.17574846252203882,-0.17574846252203882,-0.17218120168137746,-0.17218120168137746,-0.17218120168137746,0.003567260840661335,0.003567260840661335,0.003567260840661335,0.0,0.0,0.0,9958365.778918285,582795964.2764779,470773566.61757606,694875846.2216129
2026-01-31,12207674.969340226,-10095170.25038828,22171283.196786195,12165307.15496911,12250549.179648142,-0.007634101172673199,-0.007634101172673199,-0.007634101172673199,-0.540294711351668,-0.540294711351668,-0.540294711351668,-0.5326606101789947,-0.5326606101789947,-0.5326606101789947,0.0,0.0,0.0,5611932.745505567,588407897.0219835,460678396.36718774,717047129.4183991
2026-02-28,12368476.765711548,-18184816.54737494,13645856.74763721,12318796.05958568,12421459.52673218,-0.402733620395309,-0.402733620395309,-0.402733620395309,-1.1699754137024343,-1.1699754137024343,-1.1699754137024343,-0.7672417933071252,-0.7672417933071252,-0.7672417933071252,0.0,0.0,0.0,-2102336.955120767,586305560.0668628,442493579.81981283,730692986.1660364
2026-03-31,12546507.325979814,-22184031.173988555,8493641.847555488,12486453.626311895,12611274.096655045,-0.46335240155102886,-0.46335240155102886,-0.46335240155102886,-1.5563877418369594,-1.5563877418369594,-1.5563877418369594,-1.0930353402859305,-1.0930353402859305,-1.0930353402859305,0.0,0.0,0.0,-6980722.879042776,579324837.18782,420309548.6458243,739186628.0135918
2026-04-30,12718794.964949094,-17929816.526604306,13561768.659880918,12649956.914670892,12793705.136491455,-0.4027336203952622,-0.4027336203952622,-0.4027336203952622,-1.1482998013677252,-1.1482998013677252,-1.1482998013677252,-0.745566180972463,-0.745566180972463,-0.745566180972463,0.0,0.0,0.0,-1886194.7669387746,577438642.4208813,402379732.11922,752748396.6734728
2026-05-31,12896825.525217349,66107419.16053848,99601679.36353718,12819368.383158814,12983007.748286463,-0.46335240155098534,-0.46335240155098534,-0.46335240155098534,5.412844761463872,5.412844761463872,5.412844761463872,5.876197163014857,5.876197163014857,5.876197163014857,0.0,0.0,0.0,82705340.00890362,660143982.4297849,468487151.27975845,852350076.03701
2026-06-30,13069113.164186634,-25844565.803838752,8290455.434033632,12980132.646012327,13165509.371447222,-0.4027336203950729,-0.4027336203950729,-0.4027336203950729,-1.6453080895332832,-1.6453080895332832,-1.6453080895332832,-1.2425744691382103,-1.2425744691382103,-1.2425744691382103,0.0,0.0,0.0,-8433604.44787556,651710377.9819093,442642585.4759197,860640531.4710436
2026-07-31,13247143.724454891,-21009607.463621672,11269440.276923193,13144093.101104466,13358083.962801652,-0.4633524015509764,-0.4633524015509764,-0.4633524015509764,-1.3588540622796677,-1.3588540622796677,-1.3588540622796677,-0.8955016607286911,-0.8955016607286911,-0.8955016607286911,0.0,0.0,0.0,-4753791.3391232435,646956586.642786,421632978.01229805,871909971.7479668
2026-08-31,13425174.284723146,-13628484.19036979,19607394.287959017,13308538.091229811,13551605.365284005,-0.4370237577090039,-0.4370237577090039,-0.4370237577090039,-0.752780878360827,-0.752780878360827,-0.752780878360827,-0.31575712065182293,-0.31575712065182293,-0.31575712065182293,0.0,0.0,0.0,3318959.7945220694,650275546.4373081,408004493.82192826,891517366.0359257
2026-09-30,13597461.923692426,-11232845.687561044,20237722.996601146,13467019.749809593,13736733.655759266,-0.4633524015511141,-0.4633524015511141,-0.4633524015511141,-0.7248682033445397,-0.7248682033445397,-0.7248682033445397,-0.2615158017934256,-0.2615158017934256,-0.2615158017934256,0.0,0.0,0.0,3741094.1290197084,654016640.5663278,396771648.1343672,911755089.032527
2026-10-31,13775492.483960686,-9176697.624323277,23306684.835248586,13631358.567974914,13930279.770275582,-0.43702375770916324,-0.43702375770916324,-0.43702375770916324,-0.4849317619821126,-0.4849317619821126,-0.4849317619821126,-0.0479080042729495,-0.0479080042729495,-0.0479080042729495,0.0,0.0,0.0,7095318.641542283,661111959.2078701,387594950.510044,935061773.8677754
2026-11-30,13947780.122929966,-7313273.363463621,25896579.997026403,13784956.63813064,14116141.135366214,-0.46335240155110513,-0.46335240155110513,-0.46335240155110513,-0.361986504479919,-0.361986504479919,-0.361986504479919,0.10136589707118598,0.10136589707118598,0.10136589707118598,0.0,0.0,0.0,8898871.950976053,670010831.1588461,380281677.14658034,960958353.8648019
